,node,embedding
37,1308,"[ 2.65531410e+03 -6.54486965e+02  9.96359653e+02  4.25880068e+02
 -6.89170843e+01  1.42713667e+02  6.69765294e+01  1.16209596e+02
 -2.98076775e+02  9.04267596e+01  7.69361842e+02  1.70613997e+02
 -2.06988563e+02  3.36622481e+02 -6.52627429e+01 -6.69020362e+01
 -2.16073027e+01 -1.56669513e+01 -1.31941954e+01 -4.16163764e+01
  4.16481036e+01 -3.28031987e+01  6.41973631e+00 -1.68713479e+01
  1.02491166e+01 -3.30854876e+01 -6.25975459e+00  3.41841939e+01
 -8.71722668e-01 -1.22546929e+01 -1.46248571e+01  5.83331525e+00]"
38,1920,"[ 2.23843219e+02  9.86126812e+00  2.60520683e+00  1.88214336e+02
 -1.35258144e+01  4.42173845e+00  5.37599364e+01  2.55727196e+01
  1.03651611e+01 -1.40787829e+00 -1.13226870e+01  9.73261518e+00
  7.83067937e+00 -7.99233189e+00 -2.90766670e+01 -1.13063683e+01
  1.09047522e+01 -9.31647338e+00 -4.35185648e+01 -8.20449887e-02
  1.15425177e+01  4.82393737e+01  4.68481329e+00  3.91037047e-01
  1.01771890e+01  1.86514720e+01  2.05235151e+01  3.48957451e+01
  1.04284589e+01 -5.57623666e-01  2.36211636e+01 -2.70094530e+01]"
39,3483,"[141.6369642  -14.01839252  27.67911539 123.31824685 -24.47100399
   7.51773645  30.19914159  -1.10470412  14.60534185  -5.08976846
 -34.74604798  -1.92429455  47.98041323  23.32834937 -11.1013584
  26.4595729   -3.18031472  -8.91929262  10.67732093   4.17343609
  -9.67071656 -16.94510588  -7.33642628  -2.41268004  -1.73522957
   4.20283257   4.25152547   9.56187285  -3.22796467   1.10632301
   1.54279607  -2.60386898]"
40,4060,"[ 2.27323826e+02  2.29509472e+00  3.02605016e+01  2.21819153e+02
 -1.60213460e+01 -2.37908269e+00  6.84323863e+01 -8.60903701e+00
  5.75440743e+00 -2.86498556e+01 -5.84778054e+00  1.91349861e+00
  4.24703945e+00 -1.89922662e+01  1.09731982e+00 -1.09032672e+00
 -7.13398032e+00  9.61817314e+00  1.63686834e+01  3.41763425e-01
  3.86046212e-01 -2.98698065e+01 -1.01330269e+01  1.48576256e+01
  8.89898538e-02 -1.98934295e+00 -9.66534334e+00  4.50755621e+00
 -1.43090102e+01  1.05248398e+01 -6.88465462e+00 -6.74125039e+00]"
41,4506,"[248.39470982 -29.12222232 -16.83456667  70.56428367  19.79263414
 -33.44725362  -4.57498755 -37.89442614   7.64036952 -28.87970063
  13.40478127  10.28422177   4.25206839  -2.06386294  -2.35067334
   4.69016331  -4.98330173   8.98526481 -39.14294935   3.44545067
   4.37155516  -5.53696119   8.0099793    2.22247818 -12.63546681
  -6.7063226    5.32099968 -22.75680756 -12.52884478 -19.93504094
  -7.09460486 -28.98563347]"
42,4672,"[ 8.45802732e+02 -2.16077960e+01  6.75505731e+01  7.94135552e+02
 -8.00668184e+01  1.33983784e+01  2.56596461e+02  1.32985005e+01
 -2.40760962e+01 -1.13474583e+02  6.83641756e+00 -3.70280880e+01
 -1.09486872e+02 -2.19550504e+02  2.24850008e+00 -1.15704175e+02
 -1.78639178e+01  5.47958098e+01  7.35259376e+01 -2.83135763e+01
  2.82002052e+01 -5.56549209e+01  1.49122790e+02 -8.37071473e+01
 -6.81270219e-01 -8.61719951e+00  8.09866755e+01 -2.17638535e+01
  1.42361936e+02 -1.23419597e+02  8.21383720e+00  5.74222468e+01]"
43,5816,"[ 85.60267088 -12.84624361  15.76070753   3.00053792   0.26529275
  10.36409012  15.32850959  -3.65322447   0.11776326  -5.32014073
  -1.5741403    2.37588019  -5.19411826  -0.51944865  -4.51548315
  -3.68874495  11.72862251   0.77318504   1.25167841   1.85355798
   0.75347633  -4.93769128  -3.83131926  -0.37901315  -7.89136018
   0.67338797  -7.5376897   -0.24808497  -1.47507918   0.4367029
   9.3746271    0.56280712]"
44,6370,"[ 6.23418472  0.55196041  1.56920765  6.44033519 -0.0840228  -1.12508843
  2.83774501  0.03963702  0.8674961   0.10646278 -1.75839916 -0.1370765
  0.22258998 -0.95196434 -0.23196567  0.23138722 -1.59043717 -0.13487923
 -0.12777835  0.55148006 -0.08560358 -1.48275702 -1.96579813 -1.06204446
 -0.05811142  0.34859306  0.82581605 -0.36849692 -0.3789926  -0.30325846
  0.27593611 -0.82161261]"
45,6386,"[184.75548115  -3.1453505    8.87542462 142.99642817 -14.03025078
   5.62822089  23.3435838   17.54238928  10.32393019   5.46044801
 -14.1830712    3.76098854   9.05415374 -16.0208349  -28.6007296
   3.52746338  15.35161288  -1.61597641 -23.26326851  -0.21271644
   6.12589333  35.95714562   9.52512832   2.7974011    8.45784689
   3.18641235   3.84553008  30.97215041  -2.90209835  -5.16925527
  11.16932786  -2.5072625 ]"
46,56,"[ 2.91342844e+01 -7.30716329e-01 -8.54880879e+00 -7.96880699e+00
  7.73044059e-01  2.63762404e-01  8.15532553e+00 -4.75902904e+00
 -2.94094292e+00 -1.53253498e+00  8.57129134e-01  5.15304071e-02
  2.49330164e+00 -1.80298122e-02  7.79649081e-01 -2.14590852e+00
 -5.38867179e+00  3.16057758e+00 -3.73904007e+00  9.61351381e-01
 -1.44979593e+00 -1.38347178e+00 -8.03471068e-01 -8.37806159e-01
  6.97741218e-01 -5.18981599e-01  2.24692740e+00 -7.12335612e-01
 -1.49675890e+00 -1.26204669e+00 -1.38337851e+00 -8.60866548e-01]"
47,154,"[504.00912968 -40.25814642 -28.22654776  87.58864933 -14.66596288
  -1.87100449  50.56416005 -34.41407165  15.9302536  -49.95661417
  14.57964886   7.53712733  -9.14194544   8.25978235  10.82618533
  12.55056933  15.62230018 -10.74873164 -62.0555823    8.4260153
  11.58784239  33.42310291  11.0224081  -21.3581818  -39.30079403
   3.64918396   3.11541195  29.73771954   4.84705957  21.98774902
  20.0905972    4.21905592]"
48,2122,"[3101.75349899 -387.21223573 -371.5305308  -236.18000673 1116.45184673
  149.22350009  420.95725638  114.28124229 -247.30402088  219.15118752
  -32.42084431  -35.27374407  129.16981137  -27.70136807  -44.30576181
   58.67456814 -133.43466363  -53.61801337  -34.99230274  -48.38364406
  107.30619965  -22.64625673  207.96967596  143.96959857  -19.78870488
   10.68134146 -124.89763242  -13.46599971  -19.8337608    19.62404723
   11.52843002   15.80175865]"
49,2966,"[17.70261727 -1.91137651  5.96348283 -5.41572558  1.15381452 -0.12260028
  1.71681389 -1.52737484  2.96805142 -0.90328417 -2.24491603  3.9719617
 -2.84256439 -0.23383048 -3.98330461  1.17454125 -1.49283166 -2.59448666
 -0.22159921  1.80905542 -0.81685861  0.04401321 -0.80109103 -3.75132131
 -1.13216527 -1.39445762 -1.10494439 -0.69862336 -0.07349733  2.56217223
  2.08326942 -0.54593466]"
50,5731,"[ 51.68790231  -7.38839044   2.52799044 -19.75650529   4.14235997
   5.28676636  16.73005419  -6.27633963   5.2868124    3.73830653
   2.61013023  -4.42959925  -4.2922695    3.18102563  -0.59402489
  -2.36889515   9.68970027   1.45841898  -3.5848434    2.52341988
  -6.77691343  -5.37240214   2.01422588  -1.65269922  -0.53104409
   0.42368385  -4.93185141  -2.21830507  -2.14060147  -2.11995529
   0.69263373   2.15256737]"
51,552,"[382.64116675 -19.93695966 -16.61603562 -32.32776286 -21.93691453
 -16.22322538  18.43294739 -20.09939696   0.75029407 -56.42844578
   3.17419935  17.56860282 -13.61379592   9.72936902  65.53172188
  10.53518738 -10.82383076  10.04104053  -1.87842931   9.94414918
  -3.91164462  15.0903433    7.65208932 -16.07449279 -64.10745064
  12.04850719  -9.38907444  13.89403649   5.81499314  15.31285228
  23.28436242   9.13396474]"
